Data.Name,Date.Year
Hurricane,1952
Totem:1,1953
Totem:2,1953
Mosaic:Gl,1956
Mosaic:G2,1956
Buffalo: Rl,1956
Buffalo:R2,1956
Buffalo: R3,1956
Buffalo:R4,1956
Grapple:1,1957
Grapple:2,1957
Grapple:3,1957
Antler:1,1957
Antler:2,1957
Antler:3,1957
Grapple X,1957
Grapple Y,1958
Grapple Z,1958
Grapple,1958
Grapple Z,1958
Grapple Z,1958
Pampas,1962
Tendrac,1962
Cormorant,1964
Courser,1964
Charcoal,1965
Fallon,1974
Banon,1976
Fondutta,1978
Quargel,1978
Nessel,1979
Colwick,1980
Dutchese,1980
Serpa,1980
Rousanne,1981
Gibne,1982
Armada,1983
Mundo,1984
Egmont,1984
Kinibito,1985
Darwin,1986
Midland,1987
Barnwell,1989
Houston,1990
Bristol,1991
